dataset_type,arch,neurons,sample,epochs,iteration,weight_file,predict_file
scores-cut6-basic,1,16,0.1,10,0,1731500580.pth,1731500580.json
scores-cut6-basic,1,16,0.1,10,1,1731500656.pth,1731500656.json
scores-cut6-basic,1,16,0.1,10,2,1731500728.pth,1731500728.json
scores-cut6-basic,1,16,0.1,10,3,1731500799.pth,1731500799.json
scores-cut6-basic,1,16,0.1,10,4,1731500872.pth,1731500872.json
scores-cut6-basic,2,16,0.1,10,0,1731500948.pth,1731500948.json
scores-cut6-basic,2,16,0.1,10,1,1731501028.pth,1731501028.json
scores-cut6-basic,2,16,0.1,10,2,1731501107.pth,1731501107.json
scores-cut6-basic,2,16,0.1,10,3,1731501187.pth,1731501187.json
scores-cut6-basic,2,16,0.1,10,4,1731501265.pth,1731501265.json
scores-cut6-basic,1,16,0.2,10,0,1731501635.pth,1731501635.json
scores-cut6-basic,1,16,0.2,10,1,1731501784.pth,1731501784.json
scores-cut6-basic,1,16,0.2,10,2,1731501939.pth,1731501939.json
scores-cut6-basic,1,16,0.2,10,3,1731502084.pth,1731502084.json
scores-cut6-basic,1,16,0.2,10,4,1731502232.pth,1731502232.json
scores-cut6-basic,2,16,0.2,10,0,1731502377.pth,1731502377.json
scores-cut6-basic,2,16,0.2,10,1,1731502528.pth,1731502528.json
scores-cut6-basic,2,16,0.2,10,2,1731502685.pth,1731502685.json
scores-cut6-basic,2,16,0.2,10,3,1731502846.pth,1731502846.json
scores-cut6-basic,2,16,0.2,10,4,1731503015.pth,1731503015.json
scores-cut7-basic,1,16,0.1,10,0,1731503176.pth,1731503176.json
scores-cut7-basic,1,16,0.1,10,1,1731503242.pth,1731503242.json
scores-cut7-basic,1,16,0.1,10,2,1731503309.pth,1731503309.json
scores-cut7-basic,1,16,0.1,10,3,1731503376.pth,1731503376.json
scores-cut7-basic,1,16,0.1,10,4,1731503443.pth,1731503443.json
scores-cut7-basic,2,16,0.1,10,0,1731503509.pth,1731503509.json
scores-cut7-basic,2,16,0.1,10,1,1731503582.pth,1731503582.json
scores-cut7-basic,2,16,0.1,10,2,1731503654.pth,1731503654.json
scores-cut7-basic,2,16,0.1,10,3,1731503726.pth,1731503726.json
scores-cut7-basic,2,16,0.1,10,4,1731503797.pth,1731503797.json
scores-cut7-basic,1,16,0.2,10,0,1731503869.pth,1731503869.json
scores-cut7-basic,1,16,0.2,10,1,1731504003.pth,1731504003.json
scores-cut7-basic,1,16,0.2,10,2,1731504134.pth,1731504134.json
scores-cut7-basic,1,16,0.2,10,3,1731504265.pth,1731504265.json
scores-cut7-basic,1,16,0.2,10,4,1731504400.pth,1731504400.json
scores-cut7-basic,2,16,0.2,10,0,1731504533.pth,1731504533.json
scores-cut7-basic,2,16,0.2,10,1,1731504679.pth,1731504679.json
scores-cut7-basic,2,16,0.2,10,2,1731504824.pth,1731504824.json
scores-cut7-basic,2,16,0.2,10,3,1731504970.pth,1731504970.json
