dataset_type,arch,neurons,sample,epochs,iteration,weight_file,predict_file
scores-cut6-basic,1,16,0.1,10,0,1731772612.pth,1731772612.json
scores-cut6-basic,1,16,0.1,10,1,1731772683.pth,1731772683.json
scores-cut6-basic,1,16,0.1,10,2,1731772753.pth,1731772753.json
scores-cut6-basic,1,16,0.1,10,3,1731772824.pth,1731772824.json
scores-cut6-basic,1,16,0.1,10,4,1731772894.pth,1731772894.json
scores-cut6-basic,2,16,0.1,10,0,1731772963.pth,1731772963.json
scores-cut6-basic,2,16,0.1,10,1,1731773041.pth,1731773041.json
scores-cut6-basic,2,16,0.1,10,2,1731773121.pth,1731773121.json
scores-cut6-basic,2,16,0.1,10,3,1731773199.pth,1731773199.json
scores-cut6-basic,2,16,0.1,10,4,1731773277.pth,1731773277.json
scores-cut6-basic,1,16,0.2,10,0,1731773355.pth,1731773355.json
scores-cut6-basic,1,16,0.2,10,1,1731773497.pth,1731773497.json
scores-cut6-basic,1,16,0.2,10,2,1731773639.pth,1731773639.json
scores-cut6-basic,1,16,0.2,10,3,1731773781.pth,1731773781.json
scores-cut6-basic,1,16,0.2,10,4,1731773922.pth,1731773922.json
scores-cut6-basic,2,16,0.2,10,0,1731774063.pth,1731774063.json
scores-cut6-basic,2,16,0.2,10,1,1731774211.pth,1731774211.json
scores-cut6-basic,2,16,0.2,10,2,1731774359.pth,1731774359.json
scores-cut6-basic,2,16,0.2,10,3,1731774508.pth,1731774508.json
scores-cut6-basic,2,16,0.2,10,4,1731774655.pth,1731774655.json
scores-cut7-basic,1,16,0.1,10,0,1731774804.pth,1731774804.json
scores-cut7-basic,1,16,0.1,10,1,1731774871.pth,1731774871.json
scores-cut7-basic,1,16,0.1,10,2,1731774939.pth,1731774939.json
scores-cut7-basic,1,16,0.1,10,3,1731775006.pth,1731775006.json
scores-cut7-basic,1,16,0.1,10,4,1731775073.pth,1731775073.json
scores-cut7-basic,2,16,0.1,10,0,1731775140.pth,1731775140.json
scores-cut7-basic,2,16,0.1,10,1,1731775214.pth,1731775214.json
scores-cut7-basic,2,16,0.1,10,2,1731775287.pth,1731775287.json
scores-cut7-basic,2,16,0.1,10,3,1731775365.pth,1731775365.json
scores-cut7-basic,2,16,0.1,10,4,1731775443.pth,1731775443.json
scores-cut7-basic,1,16,0.2,10,0,1731775520.pth,1731775520.json
scores-cut7-basic,1,16,0.2,10,1,1731775661.pth,1731775661.json
